raw_character_text,spoken_words
Bart Simpson,oh yeah
Lisa Simpson,yeah
Bart Simpson,oh yeah
Lisa Simpson,yeah
Bart Simpson,oh yeah
Lisa Simpson,yeah
Homer Simpson,hey whats the problem here
Bart Simpson,oh yeah
Lisa Simpson,yeah
Lisa Simpson,we were fighting over which one of us loves you more
Homer Simpson,you were aw well go ahead
Bart Simpson,you love him more
Lisa Simpson,no you do
Bart Simpson,no i dont
Lisa Simpson,yes you do
Bart Simpson,no i dont
Homer Simpson,look youd better get this all out of your system right now i dont want you embarrassing me at my bosss picnic
Homer Simpson,mmmm marshmallow
Marge Simpson,homer
Homer Simpson,im trying to get at least some of the unfortunate noises out of my system while i can marge i dont want to embarrass myself at the company picnic
Homer Simpson,are you sure thats enough you know how the boss loves your delicious gelatin desserts
Marge Simpson,oh homer mr burns just said he liked it once
Homer Simpson,marge thats the only time hes ever spoken to me without using the word bonehead
Homer Simpson,there it is kids stately burns manor heaven on earth
Homer Simpson,okay now look my boss is gonna be at this picnic so i want you to show your father some love andor respect
Lisa Simpson,tough choice
Bart Simpson,im picking respect
C. Montgomery Burns,good to see you glad you could make it
MR. GAMMILL,oh thank you mr burns im so glad you invited us
TOM,not me i had to miss little league for this
MR. GAMMILL,quiet tom
C. Montgomery Burns,oh please please dont fight just go out back and have a good time
C. Montgomery Burns,fire that man smithers i dont want him or his unpleasant family to ruin my picnic
Waylon Smithers,hell be gone by the tug-of-war sir
C. Montgomery Burns,excellent
Homer Simpson,afternoon mr burns
C. Montgomery Burns,ah hello there uh uh
Homer Simpson,simpson homer
Waylon Smithers,here you go sir
C. Montgomery Burns,oh yes and this must be your lovely wife marge and look at little lisa why shes growing like a weed and this must be brat
Bart Simpson,bart
Homer Simpson,dont correct the man brat oh boss look what we brought gelatin desserts
C. Montgomery Burns,oh for the love of peter thats all anybody brought some damn fool went around telling everyone i love that slimy goop well toss it in the pile over there
C. Montgomery Burns,and make yourselves at home
Bart Simpson,hear that dad you can lie around in your underwear and scratch yourself
Homer Simpson,why you listen to me you
C. Montgomery Burns,trouble simpson
Homer Simpson,no heh heh heh just congratulating the son on a fine joke about his old man
Homer Simpson,now remember as far as anyone knows were a nice normal family
Lisa Simpson,hey bart last one in the fountains a rotten egg
Homer Simpson,be normal be normal
Marge Simpson,oh what an adorable little girl
Mrs. Long,thank you why dont we dump them in the nursery and get a glass of punch
Marge Simpson,oh im not much of a drinker
Mrs. Long,hey isnt that your boy there torturing the swans
Homer Simpson,bart
Marge Simpson,ummm maybe i will take you up on that punch
Marge Simpson,do you think we should leave the kids unsupervised
Mrs. Long,youre right there
Homer Simpson,bart lisa maggie
Homer Simpson,where are you kids
Bart Simpson,ooops
Homer Simpson,gotcha
Bart Simpson,whoa careful dad blow a gasket and you lose your job
Homer Simpson,marge knock it off
Waylon Smithers,now hear this the father-son sack race will begin in five minutes on the north lawn participation is mandatory repeat mandatory that is all
Homer Simpson,you remember the rules from last year
Bart Simpson,yeah shut my mouth and let your boss win
Bart Simpson,hey
Wife #1,i dont know who to love more my son joshua who is captain of the football team or my daughter amber who got the lead in the school play usually i use their grades as a tie-breaker but they both got straight as this term so whats a mother to do
Marge Simpson,uh-huh well uh i sense greatness in my family
Wife #2,your family
Marge Simpson,well its a greatness that others cant see but its there and if its not true greatness we have were at least average i dont want to alarm anyone but i think theres a lil al-key-hol in this punch
Waylon Smithers,mr burns are you ready
C. Montgomery Burns,yes
Waylon Smithers,are you set
C. Montgomery Burns,yes
Waylon Smithers,go mr burns
Bart Simpson,man this is pathetic im goin for it
Homer Simpson,bart no no no no oh no bart no dont noooo
C. Montgomery Burns,close one this year
Marge Simpson,here we sit enjoying the shade
Other Women,hey brother pour the wine
Marge Simpson,drink the drink that i have made
Other Women,hey brother pour the wine
Marge Simpson,hes here at last my one and only good-bye friends and dont be lonely
Other Women,hey brother pour the wine
Homer Simpson,marge i need you
Marge Simpson,hey homie did you try the punch
Homer Simpson,snap out of it marge youve got to come with me--the boss is going to make a toast
Marge Simpson,well im not much of a drinker
Homer Simpson,well you picked a perfect time to start
C. Montgomery Burns,musicians cease that infernal tutlitating thank you all for coming
Marge Simpson,oh im sorry im sorry sorry
Homer Simpson,marge
C. Montgomery Burns,but now its time to say goodbye please get off my property until next year i suggest you dont dawdle the hounds will be released in ten minutes
Nice Father,did you have a good time son
Nice Boy,yeah thanks pop
C. Montgomery Burns,awww thats the kind of family unity i like to see smithers
Waylon Smithers,yes sir
C. Montgomery Burns,get that mans name i predict big things for him down at the power plant
Homer Simpson,quick bart give me a kiss
Bart Simpson,kiss you but dad im your kid
Homer Simpson,bart please five bucks for a kiss
C. Montgomery Burns,ive never seen such an obvious attempt to curry my favor
Waylon Smithers,fabulous observation sir just fabulous
Homer Simpson,boy im glad thats over now we can go home and act normal again
Nice Father,what do you mean
Homer Simpson,oh come on that cornball routine i love you daddy give me a break
Nice Father,i pity you
Homer Simpson,why
Nice Boy,after you
NICE GIRL,thank you so much
Lisa Simpson,me first
Bart Simpson,no me
Lisa Simpson,no me
Bart Simpson,no me
Lisa Simpson,me
Bart Simpson,me
Nice Mother,honey you look tired would you like me to drive
Marge Simpson,ohhh homie i think im going to be sick
NICE FAMILY,there was a farmer who had a dog and bingo was his name oh
NICE FAMILY,b-i-n-g-o b-i-n-g-o b-i-n-g-o and bingo was his name oh
Marge Simpson,homie get in the car
Lisa Simpson,this is where you belong
Bart Simpson,yeah homer room for one more
Bart Simpson,one of us one of us one of us one of us
Bart Simpson,these people are obviously freaks
NICE FAMILY,b-i-n-g-o b-i-n-g-o b-i-n-g-o and bingo was his name oh
Announcer,the father of the family has worked all day to find this food for his children unable to fend for themselves the baby bald eaglets are dependant on their mother regurgitating the food which he has found
Marge Simpson,ohh
Lisa Simpson,hey
Homer Simpson,look everybody yesterday was a real eye-opener weve got to do better as a family so tonight were not going to shovel food in our mouths while we stare at the tv were going to eat at the dining room table like a normal family
Lisa Simpson,happy dad
Homer Simpson,yes
Lisa Simpson,good commence shovelling
Homer Simpson,no were going to say grace first
Bart Simpson,okay rub a dub dub thanks for the grub
Homer Simpson,no ignore the boy lord now can the chatter and bow your heads dear lord thank you for this microwaved bounty even though we dont deserve it i mean our kids are uncontrollable hellions pardon my french but they act like savages did you see them at the picnic oh of course you did youre everywhere youre omnivorous oh lord why did you smite me with this family
