raw_character_text,spoken_words
Bart Simpson,does not
Bart Simpson,whoops whoops oh whoops whoops
Bart Simpson,hey lis you think thats enough for her
Bart Simpson,well i know shell like mine who wouldnt like a bottle of real french perfume
Bart Simpson,all the way from gay paree four bucks plus tax
Bart Simpson,whoa big deal dry macaroni spray paint and glue whoopee
Bart Simpson,dibs first dibs i get to lick the beaters
Bart Simpson,hep hep lisa my ungue is stuck in the eater hep-hep
Bart Simpson,you dont even know your own wifes birthday
Bart Simpson,oh right whatd you get her dad
Bart Simpson,youre welcome mom
Bart Simpson,does not
Bart Simpson,does not
Bart Simpson,yeah hey mom how come youre not putting on any of my perfume
Bart Simpson,what the hell are you talking about theres gallons of it
Bart Simpson,gotcha i told you she liked mine better
Bart Simpson,my compliments to the delivery boy
Bart Simpson,uh-oh school bus
Bart Simpson,whoa aye carumba
Bart Simpson,mmm wednesday -- hoagie night
Bart Simpson,mmmm great lunches eh lis
Bart Simpson,hey dont rock the boat man whatever it is were making out like bandits
Bart Simpson,no im not
Bart Simpson,no im not
Bart Simpson,am not am not am not
Bart Simpson,hey dad what do you say we toss the ol apple around huh sound like fun
Bart Simpson,aw come on dad get the lead out
Bart Simpson,simpson checks the runner on first hes cool hes fine heres the windup and heres the pitch
Bart Simpson,dad you didnt even say ouch
Bart Simpson,lisa lisa i think youre right about dad somethings very very wrong here
Bart Simpson,well come on we gotta do something man
Bart Simpson,look dad i dont know whats going on but once you gave me some advice that might help
Bart Simpson,yeah you did you told me when somethings bothering you and youre too damn stupid to know what to do just keep your fool mouth shut at least that way you wont make things worse
Helen,marge marge simpson you remember me dont you im helen lovejoy the gossipy wife of the minister
Helen,well i had just finished eating and was about to leave when i looked over this way and said to myself why isnt that marge simpson over there having brunch with a man who isnt her husband and i just had to come over and say hello
Helen,oh dont squirm on my account
Helen,well bye-bye see you in church on sunday marge
Homer Simpson,huh whuh
Homer Simpson,my birthday
Homer Simpson,its my birthday what did i get i love birthdays
Homer Simpson,of course i know sure you really thought i forgot didnt you
Homer Simpson,huh a very thoughtful gift but its a surprise you know its such a beautiful morning i think ill take a little stroll around the block
Homer Simpson,oh no come on come on open up
Homer Simpson,ah no
Homer Simpson,too salty
Homer Simpson,ummm nah
Homer Simpson,hmmm nah too corny
Homer Simpson,too exciting
Homer Simpson,hmmmm
Homer Simpson,be right there
Homer Simpson,ah sounds delightful just you and me and the balladeers
Homer Simpson,fair enough
Homer Simpson,whats that patty
Homer Simpson,bart
Homer Simpson,hold on hold on now your mother hasnt opened my present yet
Homer Simpson,whoop dont worry this frostingll come right off beauty isnt she
Homer Simpson,well if you dont want it i know someone who does
Homer Simpson,you always say we should talk im talking right now as a matter of fact but im going to stop in a second so please say something back marge please im gonna stop talking now
Homer Simpson,what no
Homer Simpson,i wanted to surprise you i couldnt very well chop your hand off and bring it to the store could i
Homer Simpson,well if thats how you feel ill take it back
Homer Simpson,so youd know its from me
Homer Simpson,what but you dont know how to bowl whoops
Homer Simpson,well youre welcome
Homer Simpson,now this is living eh kids hot pizza the food of kings
Homer Simpson,lisa im not scared i think its a great chance to spend some time with you kids your mother always gets to be alone with you and now its my turn does the time always drag like this
Homer Simpson,okay weve eaten and eaten well now what else do we have to do well lets check the list your mom left us
Homer Simpson,eat mm-hm
Homer Simpson,ooh clean up now dont worry everybody thisll be a breeze if we all pitch in
Homer Simpson,all right were clean now well put maggie to bed
Homer Simpson,ahhh ahhh oh how was bowling
Homer Simpson,sport dear its a sport you silly thing
Homer Simpson,oh youre going back
Homer Simpson,uh no i dont mind
Homer Simpson,night
Homer Simpson,marge
Homer Simpson,nothing
Homer Simpson,for marge
Homer Simpson,son i dont know if i can lift my head let alone a ball
Homer Simpson,oh sorry ouch
Homer Simpson,i gave you advice get outta here
Homer Simpson,hmm good advice
Homer Simpson,marge may i speak to you
Homer Simpson,you know ive been thinking everyone makes peanut butter and jelly sandwiches but usually the jelly drips out over the sides and a guys hands get all sticky but your jelly stays right in the middle where its supposed to i dont know how you do it youve just got a gift i guess ive always thought so i just never mentioned it but its time you knew how i feel i dont believe in keeping feelings bottled up goodbye my wife
Homer Simpson,starving
Homer Simpson,how can i eat it she made it its all i have left
Homer Simpson,marge
Homer Simpson,what a lovely surprise youre here to see me right
Homer Simpson,tell him im going to the back seat of my car with the woman i love and i wont be back for ten minutes
Jacques,so -- one hundred and twenty pins later i am the better man
Jacques,entirely my fault it is nice to meet you homer
Jacques,your fingers are so slender so feminine they are far too tapered for the ball you are using you need something lighter more delicate here use my ball
Jacques,call me jacques
Jacques,marge
Jacques,as you wish many people have senseless attachments to heavy clumsy things such as this homer of yours
Jacques,may i ask you a bold question
Jacques,youve never bowled before
Jacques,no
Jacques,then i will teach you
Jacques,not at all i am a professional roll the ball for me marge let me see your form
Jacques,i can help you marge pick up the ball pick up homer pick him up
Jacques,now throw
Jacques,throw damn you
Jacques,yes i am a very good teacher and i can teach you everything i can tell you what the little arrows on the wood floor mean which frame is the beer frame i bet you dont know how to make a five-seven-ten split do you marge
Jacques,but first of all you yell the eight pin is a cop
Jacques,let it out marge laugh loud laugh out loud youll lose weight
Jacques,feels good
Jacques,twenty-five dollars
Jacques,its a forty-dollar value
Jacques,we have already begun
Jacques,first you must get to know your lane feel the slickness feel the satiny finish caress it experience it quite smooth isnt it
Jacques,smooth
Jacques,yes
Jacques,yes
Jacques,smooth
Jacques,yes you could eat off of it
Jacques,you hungry
Jacques,four onion rings
Jacques,it is for you
Jacques,seventeen fifty enjoy it my darling
Jacques,here we are
Jacques,but i wanted to marge do you know how beautiful you look in the moonlight
Jacques,i know i know my mind says stop but my heart and my hips cry proceed
