raw_character_text,spoken_words
Bart Simpson,here
Bart Simpson,yum dont mind if i do
Bart Simpson,oh man
Bart Simpson,you know there are names for people like you
Bart Simpson,teachers pet apple polisher butt kisser
Bart Simpson,huh
Bart Simpson,uh oh school bus gotta go
Bart Simpson,yo otto-man
Bart Simpson,hey can you believe it man my sister here made a whole pile of cupcakes to butter up her teacher and she wont give anybody else even one measly little crumb
Bart Simpson,better let me hold these lis
Bart Simpson,you sniveling toad you little egg sucker
Bart Simpson,backscratcher foot licker honor student
Bart Simpson,all right all right look im sorry i-i got upset in the heat of the moment i said some things i didnt mean
Bart Simpson,no
Bart Simpson,not really
Bart Simpson,of course not
Bart Simpson,a beautiful human being
Bart Simpson,well id have to say your generous nature your spirit of giving
Bart Simpson,thanks lis youre the best
Bart Simpson,hey whats the big idea thats my sister man
Bart Simpson,so give her back those cupcakes before i knock your block off
Bart Simpson,uh it was an accident man a terrible ghastly mistake ask anybody
Bart Simpson,uh oh a cold wind
Bart Simpson,but
Bart Simpson,but
Bart Simpson,okay nelson put up your dukes
Bart Simpson,uh oh
Bart Simpson,i aint gonna get outta the fourth grade alive
Bart Simpson,but i cant squeal it would violate the code of the school yard
Bart Simpson,look everybody i would just as soon not make a big deal out of this im not saying im not a hero im just saying that i fear for my safety
Bart Simpson,nelson it was all a mistake this is how it happened man -- listen up you may get a kick out of it -- my sister was baking cupcakes this morning and
Bart Simpson,boy you sure taught me a lesson whew thanks guys i guess now all thats left is a hearty handshake right guys
Bart Simpson,uh not really
Bart Simpson,oh no
Bart Simpson,oh man that guys tough to love
Bart Simpson,hi mom hi dad
Bart Simpson,lets just say i paid the inevitable price for helping out my sister
Bart Simpson,im gonna miss you big guy
Bart Simpson,dad i need help please
Bart Simpson,i had a run-in with a bully
Bart Simpson,i guess i could do that
Bart Simpson,i know
Bart Simpson,what do you mean mom
Bart Simpson,yeah - hes pretty chunkified all right
Bart Simpson,no hes pretty dumb hes in all the same special classes i am
Bart Simpson,you mean i should fight dirty dad
Bart Simpson,amen
Bart Simpson,yeah
Bart Simpson,gotcha
Bart Simpson,thanks pop
Bart Simpson,whoa ouch ow ooh oh no boys not the can please
Bart Simpson,what can he do
Bart Simpson,he is
Bart Simpson,im here to see grampa
Bart Simpson,well grampa simpson then
Bart Simpson,thanks lady
Bart Simpson,hi grampa
Bart Simpson,i need some advice grampa see theres this bully at school who keeps beating me up
Bart Simpson,hello sir uh mr herman did you lose your arm in the war
Bart Simpson,yes sir i will
Bart Simpson,none
Bart Simpson,psst grampa i think this guys a little nuts
Bart Simpson,okay we all know why were here right
Bart Simpson,to fight nelson the bully
Bart Simpson,that guys been tormenting all of us for years and i for one am sick of it
Bart Simpson,i cant promise you victory i cant promise you good times but the one thing i do know
Bart Simpson,whoa whoa all right okay i promise you victory i promise you good times
Bart Simpson,i got a b in arithmetic
Bart Simpson,woulda got an a but i was sick
Bart Simpson,we are rubber you are glue
Bart Simpson,it bounces off us and sticks to you
Bart Simpson,sound off
Bart Simpson,sound off
Bart Simpson,go go
Bart Simpson,whats the matter with you soldier
Bart Simpson,your nerves
Bart Simpson,i wont have cowards in my army
Bart Simpson,ow
Bart Simpson,sorry man
Bart Simpson,in english class i did the best
Bart Simpson,because i cheated on the test
Bart Simpson,sound off
Bart Simpson,i cant hear you
Bart Simpson,all right theres your enemy now hit him hit him lets go next group martinez steinberg ohara chang olajuwon herman
Bart Simpson,we are happy we are merry
Bart Simpson,we got a rhyming dictionary
Bart Simpson,sound off
Bart Simpson,one more time
Bart Simpson,bring it on home now
Bart Simpson,intelligence indicates he shakes down kids for quarters at the arcade then heads to the kwik-e-mart for a cherry squishee
Bart Simpson,two hundred rounds sir is it okay if they say happy birthday on the side
Bart Simpson,battle stations
Bart Simpson,nelson im afraid im going to have to teach you a lesson
Bart Simpson,this one artillerycommence saturation bombing
Bart Simpson,well i guess you learned your lesson so now ill untie ya
Bart Simpson,well if thats going to be your attitude im not going to untie you
Bart Simpson,uh oh hes right
Bart Simpson,wow sounds good to me okay ill sign
Bart Simpson,yeah
Bart Simpson,oh boy
Bart Simpson,ladies and gentlemen boys and girls contrary to what youve just seen war is neither glamorous nor fun there are no winners only losers there are no good wars with the following exceptions the american revolution world war ii and the star wars trilogy if youd like to learn more about war theres lots of books in your local library -- many of them with cool gory pictures well good night everybody peace man
Grampa Simpson,dear advertisers i am disgusted with the way old people are depicted on television we are not all vibrant fun-loving sex maniacs many of us are bitter resentful individuals who remember the good old days when entertainment was bland and inoffensive the following is a list of words i never want to hear on television again number one bra number two horny number three family jewels
Grampa Simpson,bart what brings you here
Grampa Simpson,well let me tell you something boy if you dont stand up for yourself bullies are gonna be picking on you for the rest of your life
Grampa Simpson,why should i
Grampa Simpson,no i want to do the crossword puzzle
Grampa Simpson,no
Grampa Simpson,no
Grampa Simpson,no
Grampa Simpson,i guess i cant help you but i know someone who can
Grampa Simpson,yep this is it
Grampa Simpson,let me in you idiot
Grampa Simpson,so herman has the large-type edition of this months soldier of fortune come in yet
Grampa Simpson,no actually we came over because i want you to meet my grandson bart
Grampa Simpson,barts got a problem with a local young bully named nelson i thought you could help him with some kind of strategy
Grampa Simpson,oh yeah well general george s patton was a little nuts and this guy is completely out of his mind we cant fail
Grampa Simpson,i wonder where bart is
Grampa Simpson,sorry bart you can push them out of a plane you can march them off a cliff you can send them off to die on some god-forsaken rock but for some reason you cant slap em now apologize to that boy right now
Grampa Simpson,you know i thought i was too old i thought my time had passed i thought id never hear the screams of pain or see the look of terror in a young mans eyes thank heaven for children
Grampa Simpson,i got im
Herman Hermann,whats the password
Herman Hermann,right you are
Herman Hermann,not yet can i interest you in some authentic nazi underpants
Herman Hermann,hello young american
Herman Hermann,my arm well let me put it this way next time your teacher tells you to keep your arm inside the bus window you do it
Herman Hermann,strategy hmmm how many men do you have
Herman Hermann,youll need more and youll need to train them hard now lets see
Herman Hermann,okay the key to springfield has always been elm street the greeks knew it the carthaginians knew it now you know it first youll need a declaration of war
Herman Hermann,that way everything you do will be nice and legal okay i can use this one from the franco prusssian war ill just change otto von bismark to read bart simpson and
Herman Hermann,yeah its way past fifteen hundred hours
Herman Hermann,and thats where well hit him when he leaves the kwik-e-mart well start the saturation-bombing we got the water balloons
Herman Hermann,well id rather they say death from above but i guess were stuck
Herman Hermann,okay our main force will be split into two groups one will circle around this way to cut off the enemys retreat the other will drive in this way closing the trap its a classic pincers movement it cant fail against a ten-year-old
Herman Hermann,i feel so alive
Herman Hermann,dont you worry i was ready for this eventuality armistice treaty article four nelson is never again to raise his fists in anger article five nelson recognizes barts right to exist article six although nelson shall have no official power he shall remain a figurehead of menace in the neighborhood
Homer Simpson,do i smell cupcakes
Homer Simpson,oooo do i ever
Homer Simpson,ah say no more
Homer Simpson,bart youre saying butt kisser like its a bad thing
Homer Simpson,well you see boy it never hurts to grease the wheels a little
Homer Simpson,surely lisa you see how it works bart a cupcake here a good grade there
Homer Simpson,yeah right lis its the three roads to success bart work brains and
Homer Simpson,yeah and i got the day off from work
Homer Simpson,but whats a day off from work when im never gonna see my beloved son again oh bart oh bart
