raw_character_text,spoken_words
Barney Gumble,drinks all around
Barney Gumble,i got me a part-time job working as a santa down at the mall
Barney Gumble,i dont know theyre pretty selective
Barney Gumble,all right thirteen big ones springfield downs here i come
Barney Gumble,you heard me im going to the dog track i got a hot little puppy in the fourth race wanna come
Barney Gumble,come on simpson the dogs name is whirlwind ten to one shot money in the bank
Barney Gumble,were in the money were in the money we got a lot of what it takes to get along
Barney Gumble,number six thats our lucky dog right over there hes won his last five races
Barney Gumble,hey-hey simpson whatd i tell you whirlwind lets go daria
Bart Simpson,jingle bells batman smells robin laid an egg the batmobile broke its wheel the joker got away
Bart Simpson,oh please theres only one fat guy that brings us presents and his name aint santa
Bart Simpson,yeah theyre cool and they last the rest of the your life
Bart Simpson,all right
Bart Simpson,good one dad
Bart Simpson,oh neat-o
Bart Simpson,all right the mall
Bart Simpson,one mother please
Bart Simpson,twenty-one sir
Bart Simpson,but mom i thought youd like it
Bart Simpson,cool
Bart Simpson,ay carumba
Bart Simpson,ow quit it
Bart Simpson,ow quit it
Bart Simpson,ow quit it
Bart Simpson,ow quit it
Bart Simpson,ow quit it it used to be a real boss tattoo
Bart Simpson,oh dad youre finally home
Bart Simpson,can we
Bart Simpson,yeah homer
Bart Simpson,hey milhouse i dare you to sit on his lap
Bart Simpson,ah touché
Bart Simpson,hey santa whats shaking
Bart Simpson,im bart simpson who the hell are you
Bart Simpson,oh yeah well just see about that
Bart Simpson,homer
Bart Simpson,dont kill me dad i didnt know it was you
Bart Simpson,ill say dad you must really love us to sink so low
Bart Simpson,come on dad lets go home
Bart Simpson,ah come on dad this can be the miracle that saves the simpsons christmas if tv has taught me anything its that miracles always happen to poor kids at christmas it happened to tiny tim it happened to charlie brown it happened to the smurfs and its gonna happen to us
Bart Simpson,come on dad theyre all scrawny little bags of bones
Bart Simpson,its a coincidence dad
Bart Simpson,i got a bad feeling about this
Bart Simpson,uh
Bart Simpson,oh go for it dad
Bart Simpson,come on santas little helper
Bart Simpson,come on dog go man go come on santas little helper run baby run
Bart Simpson,go santas little helper
Bart Simpson,come on get that rabbit
Bart Simpson,dont worry dad maybe this is just for suspense before the miracle happens
Bart Simpson,it doesnt seem possible but i guess tv has betrayed me
Bart Simpson,sorry dad
Bart Simpson,look dad its santas little helper
Bart Simpson,oh can we keep him dad please
Bart Simpson,hey everybody look what we got
Bart Simpson,and if he runs away hell be easy to catch
Bart Simpson,like a light bulb
Bart Simpson,like strip poker
Bart Simpson,like attila the hun
Bubbles,hey moldy do you think santa will be able to find elf county under all this snow
C. Montgomery Burns,hello im proud to announce that we have been able to increase safety
C. Montgomery Burns,here at the plant without increasing the cost to the consumer or affecting management pay raises however for you semi-skilled workers there will be no christmas bonuses
C. Montgomery Burns,one more thing merry christmas
Dewey Largo,and now presenting lisa simpson as tawanga the santa claus of the south seas
Grampa Simpson,oh brother
Grampa Simpson,unadulterated pap
Homer Simpson,theres no time to be careful
Homer Simpson,were late
Homer Simpson,hey norman hows it going so you got dragged down here too heh heh how ya doing fred excuse me fred
Homer Simpson,pardon my galoshes
Homer Simpson,oh its lisa thats ours
Homer Simpson,how many grades does this school have
Homer Simpson,who shall i say is calling
Homer Simpson,its your sister
Homer Simpson,what why oh yeah hello patty hello selma how was your trip
Homer Simpson,marge havent you finished that stupid letter yet
Homer Simpson,marge
Homer Simpson,marge wheres the extension cord
Homer Simpson,sorry im just a big kid and i love christmas so much
Homer Simpson,every year
Homer Simpson,a what
Homer Simpson,yeah if you want one youll have to pay for it out of your own allowance
Homer Simpson,yello
Homer Simpson,whos this
Homer Simpson,this is her sister isnt it
Homer Simpson,okay kids prepare to be dazzled marge turn on the juice
Homer Simpson,what do you think kids
Homer Simpson,what is it flanders
Homer Simpson,its too bright that flanders what a big show-off
Homer Simpson,spill it marge where have you been hiding the christmas money
Homer Simpson,oh big jar this year
Homer Simpson,mm-hmm mmm-hmm mmm-hmm
Homer Simpson,mmm-hmm mmm-hmm
Homer Simpson,oh thank god for the big jar
Homer Simpson,hey whats with this
Homer Simpson,its true the jars empty oh my god were ruined christmas is cancelled no presents for anyone
Homer Simpson,oh yeah my christmas bonus how silly of me thisll be the best christmas yet the best any family ever had heh-heh
Homer Simpson,oh i love you marge
Homer Simpson,oh good because i do love you and i dont deserve you as much as a guy with a fat wallet and a credit card that wont set off that horrible beeping
Homer Simpson,marge well let me be honest with you
Homer Simpson,well i want to do the christmas shopping this year
Homer Simpson,marge marge marge lets see oooh look pantyhose practical and alluring a six-pack oh only four ninety nine
Homer Simpson,oooh pads of paper i bet bart can think of a million things to do with these that just leaves little maggie oh look a little squeak-toy it says its for dogs but she cant read
Homer Simpson,hello flanders
Homer Simpson,well lets see
Homer Simpson,theyre all yours
Homer Simpson,gimme that
Homer Simpson,so
Homer Simpson,thanks moe
Homer Simpson,whats with the crazy getup barn
Homer Simpson,wow can i do that
Homer Simpson,what do you mean all the time even when theyre nuts
Homer Simpson,oh i certainly do
Homer Simpson,huh when do we get paid
Homer Simpson,dasher dancer
Homer Simpson,prancer
Homer Simpson,nixon comet cupid donna dixon
Homer Simpson,and what would you like little boy
Homer Simpson,why you little eggheaded
Homer Simpson,oh i knew that one too
Homer Simpson,not a word marge im heading straight for the tub
Homer Simpson,you both look well
Homer Simpson,yeah well merry christmas
Homer Simpson,and why is that
Homer Simpson,well i was just on my way out to get one
Homer Simpson,no
Homer Simpson,uh-oh
Homer Simpson,so what do you think kids beauty isnt it
Homer Simpson,thats an ornament
Homer Simpson,ah son you dont need all that junk im sure youve already got something much more important a decent home and a loving father who would do anything for you hey i couldnt afford lunch gimme a bite of that donut
Homer Simpson,i will when mrs clauss sisters get out of town thanks for listening kid
Homer Simpson,whats your name bart ner -- er -- little partner
Homer Simpson,im jolly old saint nick
Homer Simpson,i want a word with you in santas workshop little boy cover for me elfie
Homer Simpson,nobody knows its a secret i didnt get my bonus this year but to keep the family from missing out on christmas id do anything
Homer Simpson,now lets not get mushy son i still have a job to do
Homer Simpson,hey little ones santas back ho ho
Homer Simpson,arrgh -- damn it to
Homer Simpson,ah son one day youre gonna know the satisfaction of payday receiving a big fat check for a job well done
Homer Simpson,come on son lets go cash this baby and get presents for -- thirteen bucks hey wait a minute
Homer Simpson,yeah
Homer Simpson,but
Homer Simpson,santa
Homer Simpson,wait a minute
Homer Simpson,but but
Homer Simpson,thirteen bucks we cant get anything for thirteen bucks
Homer Simpson,what
Homer Simpson,bart did you hear that what a name -- santas little helper its a sign its an omen
Homer Simpson,sorry barney i may be a total washout as a father but im not gonna take my kid to some sleazy dog track on christmas eve
Homer Simpson,uh-uh
Homer Simpson,well okay lets go
Homer Simpson,whos tiny tim
Homer Simpson,i cant believe im doing this
Homer Simpson,hey barney which one is whirlwind
Homer Simpson,what that scrawny little bag of bones
Homer Simpson,yeah youre right i guess whirlwind is our only hope for a merry christmas
Homer Simpson,what are the odds on santas little helper
Homer Simpson,whoa ninety-nine times thirteen equals mer-ry christmas
Homer Simpson,dont you believe in me son
Homer Simpson,come on boy sometimes your faith is all that keeps me going
Homer Simpson,thats my boy everything on santas little helper
Homer Simpson,come on bart kiss the ticket for good luck not that we need it heh-heh-heh
Homer Simpson,come on santas little helper go go go run your tail off
Homer Simpson,go go
Homer Simpson,come on boy
Homer Simpson,i dont want to leave till our dog finishes
Homer Simpson,ah forget it lets go
Homer Simpson,find any winners son
Homer Simpson,oh no you dont no no get away from me uh-uh
Homer Simpson,but hes a loser hes pathetic hes
Homer Simpson,-- a simpson
Homer Simpson,all right look everybody i have a confession to make
Homer Simpson,i didnt get my christmas bonus i tried not to let it ruin christmas for everybody but no matter what i did i just couldnt --
Homer Simpson,it is
Homer Simpson,number eight i mean santas little helper
Homer Simpson,bart
Homer Simpson,lisa
Homer Simpson,im warning you two
Homer Simpson,rudolph with your nose over here so you can guide my sleigh today
JANEY,frohlich weihnachten -- thats german for merry christmas in germany santas servant ruprecht gives presents to good children and whipping rods to the parents of bad ones
Lewis Clark,i cant believe those kids are fallin for it
Lisa Simpson,but i really want a pony and ive been really really good this year
Lisa Simpson,nice try dad
Lisa Simpson,ooh
Lisa Simpson,i do
Lisa Simpson,but mom had to spend all the christmas money having it surgically removed
Lisa Simpson,daddy were so glad to see you
Lisa Simpson,can we go too dad
Lisa Simpson,way to go dad
Lisa Simpson,oh no
Lisa Simpson,yay
Lisa Simpson,what aunt patty
Lisa Simpson,well i wish you wouldnt because aside from the fact that he has the same frailties as all human beings hes the only father i have therefore he is my model of manhood and my estimation of him will govern the prospects of my adult relationships so i hope you bear in mind that any knock at him is a knock at me and i am far to young to defend myself against such onslaughts
Lisa Simpson,a dog all right dad
Lisa Simpson,so love at first sight is possible
Lisa Simpson,whats his name
Lisa Simpson,rudolph the red nosed reindeer had a very shiny nose and if you ever saw it you would even say it glowed
Lisa Simpson,all of the other reindeer used to laugh and call him names
Lisa Simpson,like shine-ola
Lisa Simpson,they never let poor rudolph join in any reindeer games
Lisa Simpson,then one foggy christmas eve santa came to say
Lisa Simpson,then all the reindeer loved him as they shouted out with glee rudolph the red nosed reindeer youll go down in history
Marge Simpson,ooo careful homer
Marge Simpson,sorry excuse us pardon me
Marge Simpson,oh lisas class
Marge Simpson,isnt bart sweet homer he sings like a little angel
Marge Simpson,hello
Marge Simpson,dear friends of the simpson family we had some sadness and some gladness this year first the sadness our little cat snowball was unexpectedly run over and went to kitty heaven but we bought a new little cat snowball iiso i guess life goes on speaking of life going on grampa is still with us feisty as ever maggie is walking by herself lisa got straight as and bart well we love bart the magic of the season has touched us all
Marge Simpson,homer sends his love happy holidays
Marge Simpson,the simpsons
Marge Simpson,oh for heavens sakes homer its in the utility drawer
Marge Simpson,all right children let me have those letters ill send them to santas workshop at the north pole
Marge Simpson,a pony oh lisa youve asked for that for the last three years and i keep telling you santa cant fit a pony into his sleigh cant you take a hint
Marge Simpson,oh dear maybe bart is a little more realistic
Marge Simpson,a tattoo
Marge Simpson,you will not be getting a tattoo for christmas
Marge Simpson,homer
Marge Simpson,homer
Marge Simpson,well homer and i are looking forward to your visit too
Marge Simpson,kids you want to go christmas shopping
Marge Simpson,go get your money
Marge Simpson,oh i have my secrets turn around
Marge Simpson,you can look now
Marge Simpson,oh bart thats so sweet its the best present a mother could get and it makes you look so dangerous
Marge Simpson,wheres that bart
Marge Simpson,cash
Marge Simpson,thank god for homers christmas bonus
Marge Simpson,dont worry homer well just have to stretch your christmas bonus even further this year
Marge Simpson,i get the feeling theres something you havent told me homer
Marge Simpson,homer you tell me that all the time
Marge Simpson,but i think it does have something to do with your christmas bonus i keep asking for it but
Marge Simpson,yes
Marge Simpson,well sure okay
Marge Simpson,homer why are you seven hours late
Marge Simpson,but homer my sisters are here dont you want to say hello
Marge Simpson,he said he went caroling with bart
Marge Simpson,maybe i should call the police
Marge Simpson,homer
Marge Simpson,good bless him
Marge Simpson,this is the best gift of all homer
Marge Simpson,yes something to share our love --
Marge Simpson,-- and frighten prowlers
Marge Simpson,take it homer
Marge Simpson,oh homer
Milhouse Van Houten,get a load of that quote unquote santa
Milhouse Van Houten,oh yeah well i dare you to yank his beard off
Moe Szyslak,whats the matter homer somebody leave a lumpa coal in your stocking youve been sitting there sucking on a beer all day long
Moe Szyslak,so its christmas
Moldy,i doubt it bubbles well be sad little elves this christmas
Ned Flanders,just hold your horses son hey hey simpson
Ned Flanders,do you think this looks okay
Ned Flanders,ow oh simpson its you
Ned Flanders,oh my what a little mess weve got here well which ones are yours and which ones are mine
Ned Flanders,this ones mine and this ones mine this ones mine and this--
Ned Flanders,well happy holidays simpson
Ned Flanders,you bet
Patty Bouvier,marge please
Patty Bouvier,marge please
Patty Bouvier,may i please speak to marge
Patty Bouvier,is marge there
Patty Bouvier,hello marge its patty selma and i couldnt be more excited about seeing our baby sister for christmas eve
Patty Bouvier,somehow i doubt that homers excited of all the men you could have married i dont know why you picked the one whos always so rude to us
Patty Bouvier,thank you
Patty Bouvier,well for one thing theres no tree
Patty Bouvier,do i smell gunpowder
Patty Bouvier,yeah
Patty Bouvier,its almost nine oclock
Patty Bouvier,its so typical of the big doofus to spoil it all
Patty Bouvier,oh nothing dear im just trashing your father
Patty Bouvier,um-hm go watch your cartoon show dear
Patty Bouvier,oh hell sober up
Patty Bouvier,um-hm smelling of cheap perfume
Selma Bouvier,fine
Selma Bouvier,oh its christmas you wouldnt know it around here
Selma Bouvier,why is there a birdhouse in it
Selma Bouvier,wheres your husband
Selma Bouvier,its getting late
Selma Bouvier,where is homer anyway
Selma Bouvier,yeah and come staggering home
Selma Bouvier,this should be good
Seymour Skinner,wasnt that wonderful and now santas of many lands as presented by the entire second grade class
Seymour Skinner,the fourth grade will now favor us with a melody medley of holiday flavorites
Seymour Skinner,the fifth grade will now favor us with a scene from charles dickens a christmas carol
Tattoo Man,wait a minute how old are you
Tattoo Man,get in the chair
Todd Flanders,meri kurimasu i am hotseiosha a japanese priest who acts like santa claus i have eyes in the back of my head so children better behave when im nearby
Todd Flanders,hey mr simpson you dropped your pork chop
Todd Flanders,gee dad this is gonna be the best christmas ever
Waylon Smithers,attention all personnel please keep working during the following announcement
Waylon Smithers,and now our boss and friend mr burns
