raw_character_text,spoken_words
Arnie Pye,bad news drivers theres an overturned melon truck on the interstate oh its a mess theres lots of rubbernecking and melon rustling going on so expect delays of up to three hours
Arnie Pye,this is bill pie your pie in the sky saying goodbye
Barney Gumble,youre no more of a pig than i am
Bart Simpson,yeah al last name koholic
Bart Simpson,hey donuts
Bart Simpson,awww homer
Bart Simpson,hey cool your jets man were comin
Bart Simpson,thats okay mom
Bart Simpson,aw wheres your sense of humor
Bart Simpson,hello is al there
Bart Simpson,yeah whod possibly be late on meat loaf night
Bart Simpson,how bout some grub
Bart Simpson,a little pre-dinner entertainment
Bart Simpson,is oliver there
Bart Simpson,oliver klozoff
Bart Simpson,work that body homer
Bart Simpson,not if i can help it
Bart Simpson,you dont have a clue do you dad
Bart Simpson,what a grump
Bart Simpson,aye-aye mambo man
Bart Simpson,oh the elves the elves
Bart Simpson,look lady weve seen the crappy little elves about fourteen billion times maybe we can watch some real tv
Bart Simpson,awww thats merely suggested viewing matter lady mom lets us watch whatever the hell we want
Bart Simpson,oh man i cant take it anymore
Bart Simpson,you know what happens they find captain kooks treasure all the elves dance around like little green idiots i puke the end
Bart Simpson,now for some real tv
Bart Simpson,all right americas most armed and dangerous
Bart Simpson,relax this is cinema verite when the brutal slow-motion killing starts ill tell you to shut your eyes
Bart Simpson,wow
Bart Simpson,run for it
Bart Simpson,go ahead take em all
Bart Simpson,the thing is no one was hurt i think it would be really silly to dwell on this
Bart Simpson,we know who you are ms botz or should i say ms botzucowski youre the babysitter bandit
Bart Simpson,youre crazy if you think youre gonna get away with this lady you cant --
Bart Simpson,ask if theres a reward
Bart Simpson,yeah
Bart Simpson,this way to the scene of the crime men ive got her tied up in the den
Bart Simpson,awww homer
Bubbles,help help
Doofy,faster faster
Doofy,weve got to save bubbles
Dr Marvin Monroe,okay lets see next we have
Dr Marvin Monroe,marge shes thirty-four and trapped in a loveless sham of a marriage
Dr Marvin Monroe,tell me about your husband marge
Dr Marvin Monroe,what was that last thing you said
Dr Marvin Monroe,marge i-its what i call harsh reality time
Dr Marvin Monroe,your husband sees you as nothing
Dr Marvin Monroe,no no dont hang up the pig has made you into his mother you are not the hot love object you deserve to be
Dr Marvin Monroe,im as sure of it as im sure my voice is annoying marge tonight the second he comes through that front door youve got to tell him youre fed up and if he doesnt start loving youll be leaving
Dr Marvin Monroe,please dont use his real name
Dr Marvin Monroe,can you be that honest marge
Dr Marvin Monroe,youll tell him right when he comes home from work
Dr Marvin Monroe,say it like you mean it
Dr Marvin Monroe,atta girl
Dr Marvin Monroe,your husband sees you as nothing as nothing as nothing
Dr Marvin Monroe,the pig has made you into his mother made you into his mother into his mother
Dr Marvin Monroe,you are not the hot love object you deserve you deserve to be you deserve to be you deserve to be
Dr Marvin Monroe,if he doesnt start loving youre leaving leaving leaving
Florist,what kind of flowers
Florist,well we have some beautiful long stemmed roses theyre fifty-five dollars a dozen
Homer Simpson,oooh
Homer Simpson,ahhhh
Homer Simpson,hey turn it up i love hearing those whack-os
Homer Simpson,dont be ridiculous my wife worships the ground i walk on
Homer Simpson,i hope you do find that punk someday moe fill er up
Homer Simpson,lets just say i dont feel like goin home tonight jar please
Homer Simpson,you might say that my wifes gonna leave me cause she thinks im a pig
Homer Simpson,what
Homer Simpson,what hey barney am i a pig
Homer Simpson,oh no
Homer Simpson,gee a romantic evening nah shes too smart to fall for that
Homer Simpson,i read you loud and clear
Homer Simpson,uh id like some flowers
Homer Simpson,uh you know pretty ones like that
Homer Simpson,one please
Homer Simpson,marge i uh love you marge honey i love you ohhh marge i love you baby hmm marge sweetie hooney honey aah thisll never work
Homer Simpson,i love you marjorie
Homer Simpson,and ive made reservations at the chez paree
