raw_character_text,spoken_words
Bart Simpson,mrs krabappel i didnt unlock that door
Bart Simpson,hey otto hey ottoman
Bart Simpson,any new tattoos otto
Bart Simpson,cool i want one
Bart Simpson,oh please mrs krabappel not next to wendell he pukes on every bus ride
Bart Simpson,no offense wendell
Bart Simpson,and i was that boy
Bart Simpson,mrs krabappel mrs krabappel
Bart Simpson,can i pick the song
Bart Simpson,oh no
Bart Simpson,they took bart simpson to the graveyard and they buried him in the sand oh yeah and every locomotive that comes roarin by says there lies a steel-drivin man lord lord oh there lies a --
Bart Simpson,hey wendell you made it buddy
Bart Simpson,what does incompetent mean
Bart Simpson,oh okay i thought you were puttin him down
Bart Simpson,hey theres my dad hey dad yo homer
Bart Simpson,woo woo im up here
Bart Simpson,yeah go for it dad
Bart Simpson,dont give up dad
Bart Simpson,is mr freely there
Bart Simpson,freely first initials ip
Bart Simpson,all he does is lie there like an unemployed whale
Bart Simpson,theres only one thing we can do take advantage of the old guy you gotta sign my report card dad
Bart Simpson,mom mom wake up
Bart Simpson,someone swiped my piggy bank
Bart Simpson,dont do it dad
Bart Simpson,yeah dad yeah we love you
Bart Simpson,cool man
Bart Simpson,way to go homer
Bart Simpson,gee dads a hero
Bart Simpson,nothin
Bart Simpson,right on dad
Bart Simpson,hey thats my pop up there dad watch out
C Montgomery Burns,look at that man he has the crowd in the palm of his hand havent seen anything like it since jolson who is he
C Montgomery Burns,oh so thats his little game get this simpson character up here right now
C Montgomery Burns,i said do it now do it do it do it
C Montgomery Burns,ah homer simpson at last we meet
C Montgomery Burns,simpson i want you to rejoin our power plant family
C Montgomery Burns,hear me out simpson i dont want you to come back as a technical supervisor or supervising technician or whatever the hell you used to do i want you to be in charge of safety here at the plant
C Montgomery Burns,the generous offer im making is good for exactly thirty seconds simpson
C Montgomery Burns,simpson times up
C Montgomery Burns,excellent your first duty will be to step out on the balcony and tell that crowd this plant is safe
C Montgomery Burns,go on homer
C Montgomery Burns,you mean youre willing to give up a good job and a raise just for your principles
C Montgomery Burns,youre not as stupid as you look or sound or our best testing indicates
C Montgomery Burns,youve got the job now get to work
Chief Wiggum,well its no secret our citys under siege by a graffiti vandal known as el barto police artists have a composite sketch of the culprit if anyone has any information please contact us immediately
Edna Krabappel-Flanders,now class i dont want this field trip to be a repeat of our infamous visit to the springfield state prison so i want you all to be on your best behavior especially you bart simpson
Edna Krabappel-Flanders,all right children count off
Edna Krabappel-Flanders,bart bart simpson
Edna Krabappel-Flanders,take your seat bart
Edna Krabappel-Flanders,be that as it may its the only seat left so get in there
Edna Krabappel-Flanders,now class remember do not stick any part of your body out the window we all know the tragic story of the young man who stuck his arm out the window and had it ripped off by a big truck coming in the other direction
Edna Krabappel-Flanders,bart simpson sit down ive had just about enough of your tomfoolery
Edna Krabappel-Flanders,otto are you sure you uh
Edna Krabappel-Flanders,bart not another word out of you or ill subject you to the humiliation of making you sing in front of the class
Edna Krabappel-Flanders,no the song will be john henry was a steel drivin man
Edna Krabappel-Flanders,thats it bart oh why cant you be more like uh uh uh
Edna Krabappel-Flanders,yes sherri and terri they know how to behave
Edna Krabappel-Flanders,bart bart okay bart thats enough
Edna Krabappel-Flanders,bart sit down
Homer Simpson,nothins easy
Homer Simpson,you know i defy anyone to tell the difference between these donuts and ones baked today hey my boys sposed to be here any second on a field trip they been through here yet
Homer Simpson,youre right i gotta get where the action is
Homer Simpson,comin through
Homer Simpson,oh hi boy
Homer Simpson,but sir i --
Homer Simpson,those perfectionists forget it
Homer Simpson,im no supervising technician im a technical supervisor ive never done anything worthwhile in my life im a big worthless nothing
Homer Simpson,youre right im young im able-bodied and ill take anything watch out springfield here i come
Homer Simpson,im just a technical supervisor who cared too much
Homer Simpson,youll get that punk someday moe
Homer Simpson,moe i think ill have another -- -- whoops moe im a little low on funds you think could cover me just this once
Homer Simpson,why not i think after all these years i deserve an explanation
Homer Simpson,oh
Homer Simpson,im fine im just thinking
Homer Simpson,you think you can still do that kind of work
Homer Simpson,beer now theres a temporary solution
Homer Simpson,there must be some beer here somewhere ah maybe in here
Homer Simpson,damn
Homer Simpson,i need money
Homer Simpson,oh no what have i done i smashed open my little boys piggy bank and for what a few measly cents not even enough to buy one beer wait a minute lemme count and make sure
Homer Simpson,not even close
Homer Simpson,dear family i am an utter failure and youll be better off without me by the time you read this i will be in my watery grave i can only leave you with the words my father gave me stand tall have courage and never give up i only hope i can provide a better model in death than i did in life warmest regards love homer j simpson
Homer Simpson,almost there
Homer Simpson,hey you idiot watch where youre going
Homer Simpson,well live and learn
Homer Simpson,boy this intersection is dangerous someone ought to put a stop sign here
Homer Simpson,kill myself killing myself is the last thing id ever do now i have a purpose a reason to live i dont care who i have to face i dont care who i have to fight i will not rest until this street gets a stop sign
Homer Simpson,wouldnt want to run into him in a dark alley
Homer Simpson,ladies and gentlemen esteemed councilmen boys and girls retired people with nothing better to do danger comes in many many forms from the dinosaurs that tormented our cavemen ancestors to the --
Homer Simpson,i think we should put a stop sign at d street and twelfth the other --
Homer Simpson,wow they listened to me
Homer Simpson,hey if they think im gonna stop at that stop sign theyre sadly mistaken
Homer Simpson,proud proud of what
Homer Simpson,ah what a great family but come on we all know this is small potatoes there is a danger in this town that is bigger than all the dips put together
Homer Simpson,im talking about that
Homer Simpson,what did you say son
Homer Simpson,thats okay ill just assume you said what i thought i heard you say
Homer Simpson,thank you
Homer Simpson,unlike most of you i am not a nut just a good honest american who opposes wrongdoing and especially carelessness wherever they occur
Homer Simpson,our lives are in the hands of men no smarter than you or i many of them incompetent boobs i know this because i have worked along side them gone bowling with them watched them pass me over for promotions time and again and i say this stinks
Homer Simpson,privately
Homer Simpson,stay here ill be right back
Homer Simpson,same here
Homer Simpson,sorry no can do
Homer Simpson,safety but sir if truth be known i actually caused more accidents around here than any other employee there were even a few doozies no one ever found out about
Homer Simpson,me in charge of safety this place could blow sky-high nah ill concentrate on my work now gee this guys desk sure is big i cant let marge support the family this guys got the cleanest shirt ive ever seen what should i
Homer Simpson,umm what the hey ill take the job
Homer Simpson,what
Homer Simpson,ladies and gentlemen this plant is --
Homer Simpson,oh sit tight ill be right back
Homer Simpson,i cant do it mr burns
