raw_character_text,spoken_words
Adil Hoxha,and i will miss you but now i must go
Adil Hoxha,mother
Adil Hoxha,and this must be lisa and maggie and you must be my new father homer
Adil Hoxha,thank you principal skinner thank you fellow students although i have only been in your country a few days i have already found americans to be most trusting although officially i am required to hate you i want you to know i do not feel it in my heart
Adil Hoxha,how can you defend a country where five percent of the people control ninety-five percent of the wealth
Adil Hoxha,can not
Adil Hoxha,can not
Adil Hoxha,your father is right we should not fight friends
Adil Hoxha,no no mrs simpson you have been oppressed enough for today i will clear the dishes
Adil Hoxha,yes thank you father
Adil Hoxha,all right dad
Adil Hoxha,dad do you think i could come visit you at the nuclear power plant
Adil Hoxha,oh yes very much
Adil Hoxha,then i can go
Adil Hoxha,excellent
Adil Hoxha,dad do you think i might see your plutonium isolation module
Adil Hoxha,sparrow to nest sparrow to nest stand by for transmission
Adil Hoxha,yes sometimes i think i am getting too old for this game
Adil Hoxha,goodbye simpsons thank you for your hospitality i hope this experience will not sour you on the student exchange program
Agnes Skinner,you certainly have done awfully well for yourself spanky
Agnes Skinner,why havent you introduced me to any of your students spanky
Agnes Skinner,well
Agnes Skinner,this is the bart simpson youre always talking about
Agnes Skinner,but he looks so sweet
Agnes Skinner,i think i need to make a stop at the little girls room
Agnes Skinner,spanky
Bart Simpson,froggie im home
Bart Simpson,hi little fella got some nice juicy flies for ya
Bart Simpson,clumsy homer everythings always my fault if hed just watch where he was going
Bart Simpson,hello
Bart Simpson,what have we here
Bart Simpson,a cherry bomb i thought i blew all you guys up
Bart Simpson,uh-oh
Bart Simpson,i am maam
Bart Simpson,bye spanky
Bart Simpson,what can i say i got a weakness for the classics
Bart Simpson,so long sucker
Bart Simpson,im outta here man
Bart Simpson,aah the life of a frog thats the life for me
Bart Simpson,france wow
Bart Simpson,and id get to take a plane there wouldnt i mom
Bart Simpson,wow and one back
Bart Simpson,all the time
Bart Simpson,i know im going and youre not
Bart Simpson,okay dad
Bart Simpson,yes sir
Bart Simpson,hey man watch it
Bart Simpson,hey man its me bart simpson
Bart Simpson,hey
Bart Simpson,little breeze seems to whisper louise birds in the trees seem to louise la la la la la la la la ooo la la how much longer sir
Bart Simpson,this is where were going right
Bart Simpson,chateau mason
Bart Simpson,ewww what a dump
Bart Simpson,well okay sir
Bart Simpson,hey come on guys quit being so grabby
Bart Simpson,sorry man be my guest
Bart Simpson,can i have something to go with my turnip
Bart Simpson,hey hey come on move it pal
Bart Simpson,ugh ugh ugh stu-pid grapes bunch of creeps i hate france ugh
Bart Simpson,yeah right
Bart Simpson,sorry
Bart Simpson,uh no thanks
Bart Simpson,yeah but its got anti-freeze in there
Bart Simpson,youre a policeman arent you
Bart Simpson,but you gotta help me these two guys im staying with they work me day and night they dont feed me they make me sleep on the
Bart Simpson,i dont want a piece of candy i need your hel--
Bart Simpson,come on mister can you help me
Bart Simpson,aw forget it im so stupid anybody could have learned this dumb language by now here ive listened to nothing but french for the past deux mois et je ne sais pas un mot eh mais je parle francois maintenant incroyable
Bart Simpson,hey monsieur aidez-moi ces deux types chez qui jhabite me fait travailler jour et nuit ils ne me donnent pas a manger ils me fait dormir sur la terre ils mettent dantigel dans le vin et ils sont donne mon chapeau rouge a lane
Bart Simpson,mon sauveteur vous aurez toujours une place dans mon coeur
Bart Simpson,au revoir suckers
Bart Simpson,hey wheres the big guy
Bart Simpson,hey homer
Bart Simpson,so basically i met one nice french person
Bart Simpson,same here
Bart Simpson,my father what a buffoon
Brad,so sparrow we meet again
Cesar,ah maurice once the american boy gets here your days of endless back-breaking labor will be over
Cesar,welcome to your new home escape is impossible my name is cesar this is my nephew ugolin you may find life here at the chateau hard but if you shut up and do exactly what we say the time will pass more quickly
Cesar,these wont fit us but we can sell them
Cesar,hurry up boy my grapes are waiting for their water
Cesar,yes pass me the wine
Cesar,quiet when you work like a man we will feed you like one
Cesar,you leave maurice alone the floor is good enough for you you go to sleep there
Cesar,now watch me you grab the grape between your thumb and forefinger and gently twist it off and drop it in the bucket
Cesar,now you do it
Cesar,very good now do it a million times
Cesar,silence
Cesar,this will be our finest vintage ever
Cesar,whenever i find my faith in a higher power shaken i always think of the miracle of anti-freeze too much can be poison but the right amount gives wine just the right kick mais dans les proportions voulues ca donne du corps au vin
Cesar,kill someone dont be ridiculous
Cesar,what are you doing get out of here
Cesar,on second thought bart bart come here watch i bet it wont even blind him
Cesar,drink this
Cesar,do not worry this is france it is customary for children to take a little wine now and then
Cesar,drink it
Cesar,he sees well enough now go buy a case of anti-freeze
Cesar,we have already waited three days
Cesar,oh bart
Cesar,and all because we participated in a student exchange program
Homer Simpson,jeez louise look at this mess
Homer Simpson,i told that boy a billion times to pick up his jun--
Homer Simpson,my back there goes my back again
Homer Simpson,go get help boy
Homer Simpson,oh maggie my poor back
Homer Simpson,the boy bring me the boy
Homer Simpson,oh marge i still hurt marge marge
Homer Simpson,actually i was wondering if you could make me a grilled cheese sandwich
Homer Simpson,make sure its squished flat and crunchy on the outside
Homer Simpson,and maybe some of those little wieners that come in a can oh and some fruit cocktail in heavy syrup
Homer Simpson,marge marge marge get the door
Homer Simpson,oh hello principal skinner id get up but the boy crippled me
Homer Simpson,that old gag
Homer Simpson,hear him out marge
Homer Simpson,sounds great although a kid cant learn much in just three months
Homer Simpson,yeah but what about bart
Homer Simpson,wait a minute skinner how do we know some principal over in france isnt pulling the same scam you are
Homer Simpson,you mean all white with pink eyes
Homer Simpson,he makes me crazy twelve months a year at least you get the summer off
Homer Simpson,bon voyage boy
Homer Simpson,im gonna miss you son and listen while youre seeing all those great sights always remember that youre representing your country i guess what im saying is dont mess up france the way you messed up your room
Homer Simpson,goodbye bart
Homer Simpson,be good
Homer Simpson,you gotta be kiddin the lek
Homer Simpson,give me the old stars and stripes
Homer Simpson,political what
Homer Simpson,affectionate little albanian isnt he
Homer Simpson,please please kids stop fighting maybe lisas right about america being a land of opportunity and maybe adil has a point about the machinery of capitalism being oiled with the blood of the workers
Homer Simpson,did you see that you know marge this is the way ive always wanted it to be weve become a fully functioning family unit weve always blamed ourselves but i guess its pretty clear which cylinder wasnt firing
Homer Simpson,oh shes just jealous shell get over it and if she doesnt we can always exchange her
Homer Simpson,just kidding
Homer Simpson,nice and cozy adil
Homer Simpson,look adil you can call me dad
Homer Simpson,aww you called me dad
Homer Simpson,you want to see where i work
Homer Simpson,none of my biological kids ever wanted to see me at work
Homer Simpson,well ill have to pull a few strings with the boys in security but sure you bet
Homer Simpson,see these american donuts glazed powdered and raspberry filled now hows that for freedom of choice
Homer Simpson,uh maybe hold on a second
Homer Simpson,hey lenny does this place have one of those plutonium isolation deals
Homer Simpson,sector twelve
Homer Simpson,oh that sector twelve
Homer Simpson,come along adil
Homer Simpson,you little shutterbug
Homer Simpson,cheese
Homer Simpson,well he sure makes life a lot easier around here you have to admit that
Homer Simpson,okay okay i love bart well
Homer Simpson,well
Homer Simpson,darn tootin
Homer Simpson,honey im home
Homer Simpson,oh just some blueprints adil wanted im telling you hes such a curious little dickens i bet he could build a nuclear power plant if he wanted to
Homer Simpson,ooh trouble in the neighborhood lets check it out
Homer Simpson,im his neighbor whatd he do
Homer Simpson,oooo
Homer Simpson,wow
Homer Simpson,aw
Homer Simpson,hmmm
Homer Simpson,gee whiz adil would get a kick out of seeing this
Homer Simpson,adil oh there you are
